Pitch Type,Zone,Total Swings,Total Whiffs,Whiff Rate
CH,1.0,5,0,0.0
CH,2.0,6,0,0.0
CH,3.0,5,1,0.2
CH,4.0,37,3,0.08108108108108109
CH,5.0,49,10,0.20408163265306123
CH,6.0,42,11,0.2619047619047619
CH,7.0,58,8,0.13793103448275862
CH,8.0,96,18,0.1875
CH,9.0,76,18,0.23684210526315788
CH,11.0,7,1,0.14285714285714285
CH,12.0,13,5,0.38461538461538464
CH,13.0,81,27,0.3333333333333333
CH,14.0,128,46,0.359375
CS,7.0,1,0,0.0
CU,1.0,6,0,0.0
CU,2.0,8,3,0.375
CU,3.0,2,1,0.5
CU,4.0,19,0,0.0
CU,5.0,42,0,0.0
CU,6.0,32,6,0.1875
CU,7.0,22,1,0.045454545454545456
CU,8.0,48,8,0.16666666666666666
CU,9.0,50,6,0.12
CU,11.0,1,0,0.0
CU,12.0,6,2,0.3333333333333333
CU,13.0,35,12,0.34285714285714286
CU,14.0,81,34,0.41975308641975306
EP,2.0,2,1,0.5
EP,5.0,1,0,0.0
EP,6.0,1,0,0.0
EP,8.0,2,1,0.5
FA,3.0,1,0,0.0
FA,4.0,2,0,0.0
FA,5.0,1,0,0.0
FA,6.0,1,1,1.0
FA,12.0,1,1,1.0
FC,1.0,9,3,0.3333333333333333
FC,2.0,28,13,0.4642857142857143
FC,3.0,17,7,0.4117647058823529
FC,4.0,38,2,0.05263157894736842
FC,5.0,63,7,0.1111111111111111
FC,6.0,63,10,0.15873015873015872
FC,7.0,21,2,0.09523809523809523
FC,8.0,43,6,0.13953488372093023
FC,9.0,59,11,0.1864406779661017
FC,11.0,8,0,0.0
FC,12.0,13,7,0.5384615384615384
FC,13.0,34,15,0.4411764705882353
FC,14.0,78,34,0.4358974358974359
FF,1.0,171,30,0.17543859649122806
FF,2.0,343,107,0.3119533527696793
FF,3.0,188,79,0.42021276595744683
FF,4.0,249,24,0.0963855421686747
FF,5.0,406,90,0.22167487684729065
FF,6.0,264,76,0.2878787878787879
FF,7.0,86,6,0.06976744186046512
FF,8.0,132,17,0.12878787878787878
FF,9.0,110,31,0.2818181818181818
FF,11.0,113,29,0.25663716814159293
FF,12.0,101,46,0.45544554455445546
FF,13.0,56,3,0.05357142857142857
FF,14.0,76,25,0.32894736842105265
FO,13.0,1,1,1.0
FS,1.0,1,1,1.0
FS,2.0,4,0,0.0
FS,4.0,7,0,0.0
FS,5.0,8,0,0.0
FS,6.0,2,1,0.5
FS,7.0,15,2,0.13333333333333333
FS,8.0,14,1,0.07142857142857142
FS,9.0,12,3,0.25
FS,11.0,1,0,0.0
FS,13.0,21,15,0.7142857142857143
FS,14.0,29,15,0.5172413793103449
KC,1.0,1,0,0.0
KC,2.0,6,1,0.16666666666666666
KC,3.0,3,2,0.6666666666666666
KC,4.0,9,2,0.2222222222222222
KC,5.0,20,0,0.0
KC,6.0,9,2,0.2222222222222222
KC,7.0,9,0,0.0
KC,8.0,16,1,0.0625
KC,9.0,18,4,0.2222222222222222
KC,11.0,1,0,0.0
KC,13.0,11,3,0.2727272727272727
KC,14.0,46,27,0.5869565217391305
KN,8.0,1,0,0.0
SC,13.0,1,0,0.0
SI,1.0,65,11,0.16923076923076924
SI,2.0,68,15,0.22058823529411764
SI,3.0,30,9,0.3
SI,4.0,203,18,0.08866995073891626
SI,5.0,179,18,0.1005586592178771
SI,6.0,90,19,0.2111111111111111
SI,7.0,133,18,0.13533834586466165
SI,8.0,154,15,0.09740259740259741
SI,9.0,66,6,0.09090909090909091
SI,11.0,81,10,0.12345679012345678
SI,12.0,14,10,0.7142857142857143
SI,13.0,145,30,0.20689655172413793
SI,14.0,45,8,0.17777777777777778
SL,1.0,17,3,0.17647058823529413
SL,2.0,32,13,0.40625
SL,3.0,24,15,0.625
SL,4.0,52,4,0.07692307692307693
SL,5.0,123,12,0.0975609756097561
SL,6.0,116,23,0.19827586206896552
SL,7.0,64,10,0.15625
SL,8.0,129,29,0.2248062015503876
SL,9.0,161,29,0.18012422360248448
SL,11.0,4,0,0.0
SL,12.0,23,13,0.5652173913043478
SL,13.0,91,39,0.42857142857142855
SL,14.0,298,157,0.5268456375838926
ST,1.0,2,0,0.0
ST,2.0,5,1,0.2
ST,3.0,5,2,0.4
ST,4.0,12,4,0.3333333333333333
ST,5.0,12,2,0.16666666666666666
ST,6.0,23,7,0.30434782608695654
ST,7.0,3,0,0.0
ST,8.0,17,1,0.058823529411764705
ST,9.0,21,3,0.14285714285714285
ST,11.0,3,0,0.0
ST,12.0,2,2,1.0
ST,13.0,6,3,0.5
ST,14.0,54,21,0.3888888888888889
SV,2.0,1,0,0.0
SV,4.0,2,0,0.0
SV,5.0,3,1,0.3333333333333333
SV,7.0,4,1,0.25
SV,8.0,2,0,0.0
SV,9.0,1,0,0.0
SV,13.0,1,1,1.0
SV,14.0,3,1,0.3333333333333333
