Pitch Type,Zone,Total Pitches,Balls in Play,Hit Safely Pitches,Field Out Pitches,Batting Average (BIP),Total Swings,Total Whiffs,Whiff Rate,Field Out Rate (BIP)
CH,1,19,2,0,2,0.000,5,0,0.000,1.000
CH,2,20,3,2,1,0.667,6,0,0.000,0.333
CH,3,20,3,0,2,0.000,5,1,0.200,0.667
CH,4,56,16,5,8,0.312,37,3,0.081,0.500
CH,5,57,24,6,15,0.250,49,10,0.204,0.625
CH,6,58,21,6,14,0.286,42,11,0.262,0.667
CH,7,73,15,6,6,0.400,58,8,0.138,0.400
CH,8,104,35,16,15,0.457,96,18,0.188,0.429
CH,9,97,34,14,16,0.412,76,18,0.237,0.471
CH,11,55,0,0,0,0.000,7,1,0.143,0.000
CH,12,86,5,0,5,0.000,13,5,0.385,1.000
CH,13,258,20,7,11,0.350,81,27,0.333,0.550
CH,14,399,37,14,21,0.378,128,46,0.359,0.568
CU,1,19,1,0,1,0.000,6,0,0.000,1.000
CU,2,30,1,1,0,1.000,8,3,0.375,0.000
CU,3,16,0,0,0,0.000,2,1,0.500,0.000
CU,4,37,11,4,6,0.364,19,0,0.000,0.545
CU,5,61,23,9,11,0.391,42,0,0.000,0.478
CU,6,51,13,3,5,0.231,32,6,0.188,0.385
CU,7,32,11,4,5,0.364,22,1,0.045,0.455
CU,8,54,26,9,10,0.346,48,8,0.167,0.385
CU,9,64,25,6,17,0.240,50,6,0.120,0.680
CU,11,39,1,0,1,0.000,1,0,0.000,1.000
CU,12,37,2,0,2,0.000,6,2,0.333,1.000
CU,13,99,12,3,6,0.250,35,12,0.343,0.500
CU,14,268,23,6,14,0.261,81,34,0.420,0.609
EP,14,5,0,0,0,0.000,0,0,0.000,0.000
FA,13,4,0,0,0,0.000,0,0,0.000,0.000
FA,14,4,0,0,0,0.000,0,0,0.000,0.000
FC,1,21,3,0,3,0.000,9,3,0.333,1.000
FC,2,41,3,1,0,0.333,28,13,0.464,0.000
FC,3,44,1,0,0,0.000,17,7,0.412,0.000
FC,4,44,20,6,11,0.300,38,2,0.053,0.550
FC,5,73,29,10,15,0.345,63,7,0.111,0.517
FC,6,83,28,9,15,0.321,63,10,0.159,0.536
FC,7,34,10,4,4,0.400,21,2,0.095,0.400
FC,8,56,21,8,9,0.381,43,6,0.140,0.429
FC,9,82,31,15,11,0.484,59,11,0.186,0.355
FC,11,78,2,1,1,0.500,8,0,0.000,0.500
FC,12,89,2,0,1,0.000,13,7,0.538,0.500
FC,13,96,9,3,6,0.333,34,15,0.441,0.667
FC,14,283,16,6,7,0.375,78,34,0.436,0.438
FF,1,288,62,19,39,0.306,171,30,0.175,0.629
FF,2,446,86,13,54,0.151,343,107,0.312,0.628
FF,3,304,44,4,30,0.091,188,79,0.420,0.682
FF,4,300,99,27,60,0.273,249,24,0.096,0.606
FF,5,448,131,39,73,0.298,406,90,0.222,0.557
FF,6,381,54,13,33,0.241,264,76,0.288,0.611
