pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-07-12,91.6,-1.07,5.85,"Acuña Jr., Ronald",660670,607200,field_out,hit_into_play,,,,,14,"Ronald Acuña Jr. grounds out, shortstop Masyn Winn to first baseman Willson Contreras.",R,R,R,STL,ATL,X,6.0,ground_ball,2,2,2025,0.14,0.56,1.1,2.38,,,,1,3,Top,103.27,140.08,,,,,5.2139215693948175,-133.33727422419335,-4.206659839018728,0.6710630090284618,26.42453694317457,-24.78697240676469,3.59,1.61,31.0,97.6,-3.0,92.9,2251,6.9,777133,650968,575929,680977,695336,691026,663457,687363,676475,53.62,0.351,0.367,0.0,1.0,0.0,0.0,2.0,22,5,Cutter,3,3,3,3,3,3,3,3,Standard,Standard,189,0.018,-0.225,72.5,8.3,0.409,0.225,97.6,0,0,0.525,0.475,32,27,32,28,2,1,,,,,2.14,-0.14,-0.14,,22.281037292186863,0.3419669761914033,33.807694989254294,45.8332592030595,36.27255239451195
FC,2025-07-12,90.8,-1.13,5.74,"Acuña Jr., Ronald",660670,607200,,swinging_strike,,,,,9,"Ronald Acuña Jr. grounds out, shortstop Masyn Winn to first baseman Willson Contreras.",R,R,R,STL,ATL,S,,,2,1,2025,0.38,0.54,0.78,2.17,,,,1,3,Top,,,,,,,4.007370534931227,-132.3159213900317,-4.28254861401842,3.721131091849692,25.967407440146395,-25.12570454553453,3.59,1.61,,,,92.1,2307,6.8,777133,650968,575929,680977,695336,691026,663457,687363,676475,53.68,,,,,,,,22,4,Cutter,3,3,3,3,3,3,3,3,Standard,Standard,171,0.0,-0.078,81.9,7.9,,0.078,,0,0,0.525,0.475,32,27,32,28,2,1,,,,,2.2,-0.38,-0.38,,12.712677633595128,15.034809986343207,39.19652173236755,44.47589734764071,25.13996604301495
SI,2025-07-12,93.6,-1.13,5.88,"Acuña Jr., Ronald",660670,607200,,ball,,,,,11,"Ronald Acuña Jr. grounds out, shortstop Masyn Winn to first baseman Willson Contreras.",R,R,R,STL,ATL,B,,,1,1,2025,-0.8,0.81,-0.12,4.25,,,,1,3,Top,,,,,,,4.422391253732018,-136.2888901296658,-0.2573523809285284,-10.91199538958819,29.844228552137476,-22.259933482699665,3.63,1.61,,,,94.5,1999,6.8,777133,650968,575929,680977,695336,691026,663457,687363,676475,53.74,,,,,,,,22,3,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,204,0.0,0.059,,,,-0.059,,0,0,0.525,0.475,32,27,32,28,2,1,,,,,1.79,0.8,0.8,,,,,,
SI,2025-07-12,94.6,-0.88,5.9,"Acuña Jr., Ronald",660670,607200,,ball,,,,,14,"Ronald Acuña Jr. grounds out, shortstop Masyn Winn to first baseman Willson Contreras.",R,R,R,STL,ATL,B,,,0,1,2025,-0.88,1.07,1.11,2.36,,,,1,3,Top,,,,,,,7.218027937676815,-137.53682631661815,-6.030947739067685,-12.75603029946362,29.24106084330321,-17.3794475153459,3.61,1.62,,,,95.7,2062,6.9,777133,650968,575929,680977,695336,691026,663457,687363,676475,53.65,,,,,,,,22,2,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,205,0.0,0.024,,,,-0.024,,0,0,0.525,0.475,32,27,32,28,2,1,,,,,1.47,0.88,0.88,,,,,,
SI,2025-07-12,94.4,-1.3,5.72,"Acuña Jr., Ronald",660670,607200,,foul,,,,,3,"Ronald Acuña Jr. grounds out, shortstop Masyn Winn to first baseman Willson Contreras.",R,R,R,STL,ATL,S,,,0,0,2025,-1.03,0.82,0.29,3.01,,,,1,3,Top,,,,,,,6.495132843178808,-137.31537630213313,-3.172387839551753,-14.484147415845218,31.603295031875604,-21.305019551988885,3.59,1.61,203.0,74.0,54.0,95.2,2053,6.8,777133,650968,575929,680977,695336,691026,663457,687363,676475,53.66,,,,,,,,22,1,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,208,0.0,-0.037,76.3,7.5,,0.037,88.0,0,0,0.525,0.475,32,27,32,28,2,1,,,,,1.75,1.03,1.03,,11.535241851984228,8.595065210108933,32.87783932202264,38.38593678572972,30.19503185003198
CU,2025-07-12,76.2,-1.25,5.08,"Acuña Jr., Ronald",660670,664208,walk,ball,,,,,14,Ronald Acuña Jr. walks.,R,R,R,STL,ATL,B,,,3,2,2025,1.3,-0.56,1.76,2.47,,595777.0,,1,8,Top,,,,,,,4.039034341979846,-110.83616554969544,2.742416384496884,9.757300376624686,22.682461693129486,-37.55939717818677,3.55,1.6,,,,76.9,3116,7.1,777133,650968,575929,680977,695336,691026,665877,687363,676475,53.36,,0.6929,0.7,1.0,0.0,0.0,,59,6,Curveball,5,3,3,5,3,5,3,5,Standard,Standard,61,-0.052,0.21,,,,-0.21,,2,-2,0.847,0.153,32,27,32,28,1,3,,,,,4.54,-1.3,-1.3,,,,,,
CU,2025-07-12,76.3,-1.33,5.08,"Acuña Jr., Ronald",660670,664208,,ball,,,,,14,Ronald Acuña Jr. walks.,R,R,R,STL,ATL,B,,,2,2,2025,1.51,-0.5,2.06,2.14,,595777.0,,1,8,Top,,,,,,,4.469186862076931,-110.9655041544768,1.9172293728390493,11.44727439166776,22.086689085053987,-36.91365927016682,3.59,1.57,,,,77.2,3095,7.2,777133,650968,575929,680977,695336,691026,665877,687363,676475,53.29,,,,,,,,59,5,Curveball,5,3,3,5,3,5,3,5,Standard,Standard,60,0.0,0.074,,,,-0.074,,2,-2,0.847,0.153,32,27,32,28,1,3,,,,,4.46,-1.51,-1.51,,,,,,
CU,2025-07-12,75.6,-1.37,5.06,"Acuña Jr., Ronald",660670,664208,,ball,,,,,14,Ronald Acuña Jr. walks.,R,R,R,STL,ATL,B,,,1,2,2025,1.46,-0.35,1.76,2.09,,595777.0,,1,8,Top,,,,,,,3.982300394491637,-109.8813673880194,1.7301203139631007,10.841966374386471,22.79703246211044,-35.60171428212794,3.54,1.59,,,,76.1,3039,7.1,777133,650968,575929,680977,695336,691026,665877,687363,676475,53.39,,,,,,,,59,4,Curveball,5,3,3,5,3,5,3,5,Standard,Standard,68,0.0,0.018,,,,-0.018,,2,-2,0.847,0.153,32,27,32,28,1,3,,,,,4.41,-1.46,-1.46,,,,,,
FC,2025-07-12,88.6,-1.18,5.04,"Acuña Jr., Ronald",660670,664208,,called_strike,,,,,12,Ronald Acuña Jr. walks.,R,R,R,STL,ATL,S,,,1,1,2025,0.22,0.72,0.92,3.04,,595777.0,,1,8,Top,,,,,,,4.745483325067217,-128.96646302572807,-0.3109666545740143,1.4758695312697223,26.68067946354413,-24.33738078153492,3.63,1.65,,,,90.1,2467,7.2,777133,650968,575929,680977,695336,691026,665877,687363,676475,53.35,,,,,,,,59,3,Cutter,5,3,3,5,3,5,3,5,Standard,Standard,198,0.0,-0.062,,,,0.062,,2,-2,0.847,0.153,32,27,32,28,1,3,,,,,2.19,-0.22,-0.22,,,,,,
FC,2025-07-12,88.9,-1.17,5.13,"Acuña Jr., Ronald",660670,664208,,ball,,,,,12,Ronald Acuña Jr. walks.,R,R,R,STL,ATL,B,,,0,1,2025,0.27,0.9,1.11,3.25,,595777.0,,1,8,Top,,,,,,,5.07789591519519,-129.40319402613255,-0.454781938772809,2.0439470012545784,26.568639776854607,-22.137411067450817,3.63,1.65,,,,90.2,2489,7.1,777133,650968,575929,680977,695336,691026,665877,687363,676475,53.44,,,,,,,,59,2,Cutter,5,3,3,5,3,5,3,5,Standard,Standard,199,0.0,0.021,,,,-0.021,,2,-2,0.847,0.153,32,27,32,28,1,3,,,,,1.98,-0.27,-0.27,,,,,,
