pitch_type,bat_speed,attack_angle,swing_path_tilt,swing_length,babip_value,launch_speed_angle,attack_direction,batting_average_bip,whiff_rate,field_out_rate_bip,balls_in_play,total_swings,total_whiffs
CH,75.98217821782178,12.962297235683925,39.21653763664235,7.927722772277228,0.23076923076923078,3.4131455399061035,-0.837529146196949,0.33488372093023255,0.24543946932006633,0.5395348837209303,215.0,603.0,148.0
CU,77.14081632653061,11.032637330258869,37.1014778251213,7.6408163265306115,0.2037037037037037,3.472972972972973,3.122455269519503,0.2953020134228188,0.20738636363636365,0.5234899328859061,149.0,352.0,73.0
EP,84.9,24.375630842315783,33.63483629135068,8.1,0.5,3.6666666666666665,-8.169738116638626,0.6666666666666666,0.3333333333333333,0.3333333333333333,3.0,6.0,2.0
FC,75.68686868686869,9.311473780380236,35.798037390830046,7.544444444444444,0.23387096774193547,3.422857142857143,6.488081324723797,0.3314285714285714,0.2468354430379747,0.4742857142857143,175.0,474.0,117.0
FF,74.55690476190476,6.139966067316061,34.39601291009142,7.1085714285714285,0.15486725663716813,3.655834564254062,10.651338158414434,0.25697503671071953,0.24531590413943355,0.5859030837004405,681.0,2295.0,563.0
FO,66.9,24.677927660480886,42.51849467322372,8.6,,,-22.56577589140622,,1.0,,0.0,1.0,1.0
FS,74.44545454545454,14.851310847058425,38.175901629689946,7.95,0.16666666666666666,3.3333333333333335,-3.691282807196042,0.3333333333333333,0.3333333333333333,0.5,30.0,114.0,38.0
KC,70.8,8.169285541307493,38.88176907785168,7.637037037037037,0.23157894736842105,3.440677966101695,4.43502695825294,0.3728813559322034,0.28187919463087246,0.5254237288135594,59.0,149.0,42.0
SI,74.09446494464945,3.434109214388006,37.09112327638069,7.134686346863469,0.23427041499330656,3.30859375,12.304173856118371,0.3404669260700389,0.14712824547600314,0.490272373540856,514.0,1271.0,187.0
SL,73.50722222222223,11.677726989007445,37.00229430835206,7.741666666666666,0.2169811320754717,3.3756345177664975,2.9562759923919986,0.3493670886075949,0.30599647266313934,0.5063291139240507,395.0,1134.0,347.0
ST,73.41315789473684,11.4815940096636,36.63953497755065,7.683999999999999,0.17525773195876287,3.3513513513513513,2.497743776142182,0.22972972972972974,0.2787878787878788,0.6486486486486487,74.0,165.0,46.0
SV,81.5,4.1138064418977525,39.49856734573332,7.75,0.1,3.857142857142857,5.141686546478923,0.14285714285714285,0.23529411764705882,0.7142857142857143,7.0,17.0,4.0
ALL,74.47197758206565,7.894498976788833,36.277593232161735,7.391185897435898,0.20112359550561798,3.4603312990409765,7.412943657283551,0.3107638888888889,0.23823975720789076,0.5329861111111112,2304.0,6590.0,1570.0
