feature,importance
release_speed,0.0
acuna_fastball_swing_rate,0.0
early_count_penalty,0.0
early_count_zone_penalty,0.0
early_count_outside_penalty,0.0
count_swing_rate_adjustment,0.0
early_count_location_penalty,0.0
early_count_breaking_penalty,0.0
early_count_offspeed_penalty,0.0
early_count_low_vel_penalty,0.0
early_count_high_vel_penalty,0.0
acuna_breaking_swing_rate,0.0
late_count,0.0
acuna_offspeed_swing_rate,0.0
acuna_zone_swing_rate,0.0
acuna_outside_swing_rate,0.0
acuna_high_swing_rate,0.0
acuna_low_swing_rate,0.0
acuna_ahead_swing_rate,0.0
acuna_behind_swing_rate,0.0
acuna_two_strikes_swing_rate,0.0
acuna_full_count_swing_rate,0.0
pressure_count,0.0
middle_count,0.0
acuna_low_vel_swing_rate,0.0
extreme_location,0.0
velocity_surprise,0.0
velocity_consistency,0.0
breaking_ball_velocity,0.0
high_movement_fastball,0.0
low_movement_breaking,0.0
unexpected_movement,0.0
corner_pitch,0.0
heart_pitch,0.0
shadow_pitch,0.0
velocity_x_location,0.0
early_count,0.0
pitch_type_x_location,0.0
count_x_zone,0.0
early_count_swing,0.0
late_count_take,0.0
pressure_swing,0.0
opportunity_take,0.0
zone_quadrant_encoded,0.0
location_quadrant_encoded,0.0
count_advantage_encoded,0.0
acuna_high_vel_swing_rate,0.0
acuna_high_movement_swing_rate,0.0
out_zone_ahead,0.0
balls_in_play,0.0
fastball_zone_contact,0.0
breaking_zone_contact,0.0
offspeed_zone_contact,0.0
pressure_zone_contact,0.0
opportunity_zone_contact,0.0
two_strikes_zone_contact,0.0
batting_average_bip,0.0
whiff_rate,0.0
field_out_rate_bip,0.0
total_swings,0.0
zone_overall_contact,0.0
total_whiffs,0.0
pitch_type,0.0
p_throws,0.0
if_fielding_alignment,0.0
of_fielding_alignment,0.0
stand,0.0
home_team,0.0
zone_quadrant,0.0
location_quadrant,0.0
outside_zone_contact,0.0
zone_shadow_contact,0.0
acuna_low_movement_swing_rate,0.0
acuna_pressure_swing_rate,0.0
acuna_late_inning_swing_rate,0.0
acuna_close_game_swing_rate,0.0
acuna_first_pitch_swing_rate,0.0
acuna_last_pitch_swing_rate,0.0
acuna_pitch_type_change_swing_rate,0.0
acuna_velocity_drop_swing_rate,0.0
acuna_velocity_surge_swing_rate,0.0
acuna_location_extreme_swing_rate,0.0
acuna_location_heart_swing_rate,0.0
acuna_opportunity_swing_rate,0.0
zone_corner_contact,0.0
acuna_zone_corner_swing_rate,0.0
acuna_zone_shadow_swing_rate,0.0
acuna_zone_heart_swing_rate,0.0
acuna_zone_heart_hit_rate,0.0
acuna_zone_corner_hit_rate,0.0
acuna_zone_shadow_hit_rate,0.0
acuna_zone_hit_rate,0.0
acuna_outside_hit_rate,0.0
zone_heart_contact,0.0
edge_zone_decision,0.0
in_zone_two_strikes,0.0
release_spin_rate,0.0
behind_in_count,0.0
break_length_deprecated,0.0
effective_speed,0.0
age_pit,0.0
zone_distance,0.0
movement_magnitude,0.0
plate_x_norm_x_movement,0.0
plate_z_norm_x_movement,0.0
count_pressure,0.0
count_total,0.0
ahead_in_count,0.0
spin_rate_deprecated,0.0
two_strikes,0.0
three_balls,0.0
in_strike_zone,0.0
far_from_zone,0.0
high_pitch,0.0
low_pitch,0.0
inside_pitch,0.0
outside_pitch,0.0
is_fastball,0.0
break_angle_deprecated,0.0
spin_dir,0.0
is_offspeed,0.0
pfx_z,0.0
spin_axis,0.0
release_extension,0.0
release_pos_x,0.0
release_pos_y,0.0
release_pos_z,0.0
vx0,0.0
vy0,0.0
vz0,0.0
pfx_x,0.0
plate_x,0.0
strikes,0.0
plate_z,0.0
sz_top,0.0
sz_bot,0.0
zone,0.0
api_break_z_with_gravity,0.0
api_break_x_batter_in,0.0
api_break_x_arm,0.0
arm_angle,0.0
balls,0.0
is_breaking_ball,0.0
zone_distance_x_count_pressure,0.0
full_count_pressure,0.0
must_swing,0.0
vertical_movement,0.0
movement_ratio,0.0
high_horizontal_movement,0.0
high_vertical_movement,0.0
zone_center_distance,0.0
zone_corner,0.0
zone_heart,0.0
zone_shadow,0.0
pressure_situation,0.0
can_take,0.0
velocity_diff_from_avg,0.0
fastball_high,0.0
breaking_ball_low,0.0
offspeed_middle,0.0
pitch_type_change,0.0
location_extreme,0.0
high_leverage,0.0
count_ratio,0.0
behind_by_two,0.0
ahead_by_two,0.0
horizontal_movement,0.0
last_pitch,0.0
movement_x_count_pressure,0.0
closest_zone_edge,0.0
in_zone_x_two_strikes,0.0
far_from_zone_x_ahead,0.0
velocity_movement_ratio,0.0
high_velocity,0.0
low_velocity,0.0
high_movement,0.0
zone_edge_distance,0.0
zone_top_distance,0.0
zone_bottom_distance,0.0
full_count,0.0
first_pitch,0.0
hitters_count,0.0
pitchers_count,0.0
neutral_count,0.0
velocity_drop,0.0
breaking_ball_high,0.0
offspeed_low,0.0
inning_late,0.0
close_game,0.0
pitch_in_at_bat,0.0
count_advantage,0.0
