pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,opponent_team
SI,2025-06-22,98.2,-1.63,5.85,"Alcantara, Sandy",671739,645261,field_out,hit_into_play,,,,,8,"Michael Harris II grounds out, first baseman Eric Wagaman to pitcher Sandy Alcantara.",R,L,R,MIA,ATL,X,3.0,ground_ball,2,1,2025,-1.42,0.64,-0.05,2.17,,,657077.0,2,6,Top,145.22,175.24,,,,,7.565151341332624,-142.64490486372742,-5.91257951111577,-21.219058194620967,35.2832165985747,-22.146539092694763,3.5,1.64,3.0,74.7,-39.0,97.6,2386,6.2,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.26,0.086,0.092,0.0,1.0,0.0,0.0,2.0,51,4,Sinker,4,3,3,4,3,4,3,4,Infield shade,Standard,235,0.038,-0.307,73.5,7.6,0.096,0.307,88.0,1,-1,0.708,0.292,29,24,30,24,3,2,6,1,6,1,1.74,1.42,-1.42,31.0,6.347690008545508,7.020462606270864,32.87778190885937,36.98759233301416,25.0072885488869,ATL
SL,2025-06-22,91.0,-1.63,5.97,"Alcantara, Sandy",671739,645261,,ball,,,,,11,"Michael Harris II grounds out, first baseman Eric Wagaman to pitcher Sandy Alcantara.",R,L,R,MIA,ATL,B,,,1,1,2025,-0.12,0.66,-1.32,3.91,,,657077.0,2,6,Top,,,,,,,1.0293255943857518,-132.56429654367912,-0.7072317701512936,-1.6241314872756765,27.45164425157075,-24.412687276213383,3.48,1.54,,,,90.0,2344,5.6,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.93,,,,,,,,51,3,Slider,4,3,3,4,3,4,3,4,Infield shade,Standard,222,0.0,0.05,,,,-0.05,,1,-1,0.708,0.292,29,24,30,24,3,2,6,1,6,1,2.08,0.12,-0.12,31.1,,,,,,ATL
CH,2025-06-22,91.7,-1.75,5.84,"Alcantara, Sandy",671739,645261,,foul,,,,,13,"Michael Harris II grounds out, first baseman Eric Wagaman to pitcher Sandy Alcantara.",R,L,R,MIA,ATL,S,,,1,0,2025,-1.57,0.39,-0.88,1.81,,,657077.0,2,6,Top,,,,,,,5.5712658334938645,-133.3193182230957,-5.150214336121083,-19.890507497308,29.910748052251524,-26.539723099859856,3.5,1.64,,,,91.3,2209,6.2,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.3,,,,,,,,51,2,Changeup,4,3,3,4,3,4,3,4,Infield shade,Standard,238,0.0,-0.048,70.6,8.8,,0.048,,1,-1,0.708,0.292,29,24,30,24,3,2,6,1,6,1,2.33,1.57,-1.57,30.8,23.544716402666715,-1.6845527814311705,30.277971137179097,46.92448616601099,33.342931109923256,ATL
CH,2025-06-22,91.2,-1.53,5.91,"Alcantara, Sandy",671739,645261,,blocked_ball,,,,,14,"Michael Harris II grounds out, first baseman Eric Wagaman to pitcher Sandy Alcantara.",R,L,R,MIA,ATL,B,,,0,0,2025,-1.54,0.58,0.22,0.34,,,657077.0,2,6,Top,,,,,,,7.640112906764789,-132.3451130954044,-9.23057219867315,-19.77951686003267,30.862732509724765,-23.41715909254384,3.52,1.55,,,,90.1,2294,6.0,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.51,,,,,,,,51,1,Changeup,4,3,3,4,3,4,3,4,Standard,Standard,243,0.0,0.034,,,,-0.034,,1,-1,0.708,0.292,29,24,30,24,3,2,6,1,6,1,2.2,1.54,-1.54,31.2,,,,,,ATL
SL,2025-06-22,92.2,-1.65,5.97,"Alcantara, Sandy",657077,645261,force_out,hit_into_play,,,,,7,"Alex Verdugo grounds into a force out, first baseman Eric Wagaman to shortstop Otto Lopez. Drake Baldwin scores. Ozzie Albies out at 2nd. Alex Verdugo to 1st.",R,L,R,MIA,ATL,X,3.0,ground_ball,0,0,2025,-0.29,0.64,-0.55,1.86,686948.0,,645277.0,1,6,Top,147.04,178.27,,,,,3.423463800814869,-134.2078471046948,-6.0241643438225765,-4.248117290066576,29.088764229258366,-23.317665705951747,3.47,1.57,2.0,93.0,-48.0,92.6,2366,6.5,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.01,0.123,0.106,0.0,1.0,0.0,0.0,2.0,50,1,Slider,4,2,2,4,3,4,3,4,Standard,Standard,229,0.005,-0.338,,,0.128,0.338,93.0,2,-2,0.703,0.297,29,29,30,29,3,2,6,1,6,2,2.04,0.29,-0.29,34.9,,,,,,ATL
CH,2025-06-22,91.3,-1.71,5.86,"Alcantara, Sandy",645277,645261,single,hit_into_play,,,,,7,Ozzie Albies singles on a ground ball to center fielder Dane Myers. Drake Baldwin to 3rd.,R,L,R,MIA,ATL,X,8.0,ground_ball,0,0,2025,-1.63,0.37,-0.66,1.75,,,686948.0,1,6,Top,144.62,101.42,,,,,6.143149303389446,-132.63750568539916,-5.172812913823358,-20.509599928730285,30.88936437892279,-26.829918465331023,3.23,1.55,11.0,100.1,-8.0,90.6,2134,6.1,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.36,0.254,0.244,0.9,1.0,1.0,0.0,2.0,49,1,Changeup,4,2,2,4,2,4,2,4,Standard,Standard,241,-0.08,0.405,72.2,7.1,0.278,-0.405,100.1,2,-2,0.783,0.217,29,28,30,28,3,2,6,1,6,1,2.39,1.63,-1.63,30.1,7.357150809647599,8.337490080587264,34.60126079875611,39.29621339362315,30.437774185974877,ATL
FF,2025-06-22,98.5,-1.42,6.0,"Alcantara, Sandy",686948,645261,walk,ball,,,,,11,Drake Baldwin walks.,R,L,R,MIA,ATL,B,,,3,2,2025,-1.24,1.07,-0.59,3.88,,,,1,6,Top,,,,,,,5.081091895851468,-143.27631386872267,-2.6779870017383463,-18.258759542297604,38.00334709507516,-17.188157610998932,3.48,1.57,,,,96.9,2480,5.7,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.76,,0.693299,0.7,1.0,0.0,0.0,,48,8,4-Seam Fastball,4,2,2,4,2,4,2,4,Infield shade,Standard,234,-0.036,0.348,,,,-0.348,,2,-2,0.819,0.181,29,24,30,24,3,2,6,1,6,2,1.31,1.24,-1.24,30.9,,,,,,ATL
SL,2025-06-22,89.1,-1.46,5.97,"Alcantara, Sandy",686948,645261,,foul,,,,,13,Drake Baldwin walks.,R,L,R,MIA,ATL,S,,,3,2,2025,0.1,0.28,-0.87,2.05,,,,1,6,Top,,,,,,,1.205267136219786,-129.8071931405123,-4.194691615916964,0.9320842170010468,26.91531773298449,-28.34401867258403,3.39,1.59,287.0,89.4,42.0,88.7,2440,6.0,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.52,,,,,,,,48,7,Slider,4,2,2,4,2,4,2,4,Infield shade,Standard,187,0.0,0.0,76.6,7.4,,0.0,89.4,2,-2,0.819,0.181,29,24,30,24,3,2,6,1,6,2,2.58,-0.1,0.1,31.1,6.200857286190607,8.05268696806022,27.56923616872069,45.77400310699113,25.0871256166044,ATL
SI,2025-06-22,98.2,-1.51,5.98,"Alcantara, Sandy",686948,645261,,foul,,,,,11,Drake Baldwin walks.,R,L,R,MIA,ATL,S,,,3,2,2025,-1.48,0.71,-1.39,2.95,,,,1,6,Top,,,,,,,3.723458984295249,-142.84214052898997,-4.322334511782987,-21.05941177888496,35.280905131429975,-21.67494315170357,3.39,1.59,228.0,78.6,24.0,97.5,2234,6.1,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.42,,,,,,,,48,6,Sinker,4,2,2,4,2,4,2,4,Infield shade,Standard,234,0.0,0.0,65.4,6.6,,0.0,88.0,2,-2,0.819,0.181,29,24,30,24,3,2,6,1,6,2,1.67,1.48,-1.48,30.2,5.604572030210743,28.4821569109694,17.725784832721242,52.85650086148544,10.614303383025977,ATL
SI,2025-06-22,98.4,-1.52,5.94,"Alcantara, Sandy",686948,645261,,called_strike,,,,,7,Drake Baldwin walks.,R,L,R,MIA,ATL,S,,,3,1,2025,-1.41,0.83,-0.68,2.01,,,,1,6,Top,,,,,,,5.497847020447975,-142.95314244566578,-7.027432987266014,-20.55425035137448,35.667423694390855,-19.289931005462684,3.48,1.57,,,,97.4,2330,6.0,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.51,,,,,,,,48,5,Sinker,4,2,2,4,2,4,2,4,Infield shade,Standard,235,0.0,-0.092,,,,0.092,,2,-2,0.819,0.181,29,24,30,24,3,2,6,1,6,2,1.55,1.41,-1.41,31.6,,,,,,ATL
